country,2023,2022,2021
AT,183.7,175.7,169.8
BE,201.5,210,210.3
BG,80.8,79.7,85.9
CY,16.6,18.2,15.7
CZ,204.8,194.3,209.7
DE,1685.1,1705.1,1614.5
DK,137.5,135,132.3
EE,36,30.5,32.2
EL,128,144.7,144.4
ES,755.2,735.3,725.1
FI,119,122.6,119.2
FR,1164.9,1142.1,1087.5
HR,55.3,50.9,54.1
HU,170.7,163.8,167
IE,84.7,84.3,73.4
IT,825.1,814.9,771.3
LT,58.3,57.6,54.2
LU,16.6,15,13.1
LV,36.8,35.4,36.3
MT,12.7,12.6,11.8
NL,513.7,520.8,471.4
PL,622.9,603.6,566.8
PT,201,192.9,178.1
RO,112.1,117.3,111.2
SE,249.4,260.1,232.2
SI,41.8,44.9,45.5
SK,71.1,75.9,74.8
